"Ship_Mode","Segment","City","State","Sub_Category","diff_in_days","Sales","Quantity","Discount","Profit"
"Second Class","Consumer","Philadelphia","Pennsylvania","Phones",5,135.516,1,0.4,-31.6204
"Standard Class","Corporate","New York City","New York","Binders",6,25.344,6,0.2,8.8704
"Standard Class","Corporate","Hillsboro","Oregon","Binders",4,4.158,7,0.7,-3.465
"Standard Class","Consumer","Newark","Delaware","Phones",6,89.98,2,0,43.1904
"Standard Class","Home Office","Philadelphia","Pennsylvania","Phones",5,1499.97,5,0.4,-374.9925
"Second Class","Consumer","Clarksville","Tennessee","Art",3,36.96,4,0.2,12.012
"Standard Class","Corporate","Columbus","Ohio","Appliances",4,52.272,3,0.2,9.801
"Standard Class","Consumer","Dallas","Texas","Binders",4,6.744,4,0.8,-11.4648
"Standard Class","Consumer","Georgetown","Kentucky","Furnishings",4,42.6,3,0,16.614
"Standard Class","Corporate","New York City","New York","Phones",6,430.88,2,0,124.9552
"Standard Class","Home Office","Tampa","Florida","Binders",4,34.86,2,0.7,-26.726
"Second Class","Consumer","Knoxville","Tennessee","Appliances",3,87.168,2,0.2,8.7168
"Standard Class","Consumer","New York City","New York","Binders",7,9.28,2,0.2,3.248
"Standard Class","Corporate","Milwaukee","Wisconsin","Paper",4,219.84,4,0,107.7216
"Standard Class","Corporate","Seattle","Washington","Binders",7,13.904,2,0.2,4.5188
"Standard Class","Consumer","Houston","Texas","Accessories",5,127.984,2,0.2,15.998
"Standard Class","Consumer","Henderson","Kentucky","Furnishings",6,24.1,5,0,9.158
"Second Class","Consumer","New York City","New York","Phones",3,279.86,14,0,134.3328
"Standard Class","Consumer","New Albany","Indiana","Labels",4,75.18,6,0,35.3346
"Second Class","Corporate","San Marcos","Texas","Furnishings",2,10.332,3,0.6,-5.9409
"First Class","Consumer","Los Angeles","California","Storage",1,130.71,3,0,39.213
"Second Class","Home Office","Huntsville","Alabama","Phones",4,90.48,2,0,23.5248
"Second Class","Corporate","Buffalo","New York","Furnishings",3,154.95,3,0,30.99
"Standard Class","Home Office","San Francisco","California","Paper",5,6.58,2,0,3.0268
"Second Class","Consumer","Seattle","Washington","Fasteners",2,9.42,2,0,0.471
"Standard Class","Home Office","San Francisco","California","Accessories",4,450,5,0,162
"Standard Class","Corporate","Newark","Delaware","Binders",5,7.92,4,0,3.564
"Standard Class","Consumer","New York City","New York","Paper",4,23.66,7,0,10.8836
"First Class","Consumer","Wilmington","Delaware","Envelopes",3,115.02,9,0,51.759
"Same Day","Consumer","Houston","Texas","Phones",1,79.96,5,0.2,7.996
"Standard Class","Consumer","North Las Vegas","Nevada","Storage",4,1325.85,5,0,238.653
"First Class","Consumer","Philadelphia","Pennsylvania","Chairs",2,786.744,4,0.3,-258.5016
"Standard Class","Consumer","Auburn","New York","Fasteners",6,1.24,1,0,0.5828
"Standard Class","Corporate","Springfield","Virginia","Binders",5,232.96,7,0,116.48
"Standard Class","Consumer","San Antonio","Texas","Binders",4,8.88,5,0.8,-13.32
"Same Day","Consumer","Seattle","Washington","Furnishings",0,14.19,3,0,5.5341
"Second Class","Consumer","Los Angeles","California","Copiers",3,959.984,2,0.2,335.9944
"First Class","Corporate","Los Angeles","California","Supplies",2,11.36,2,0,3.2944
"Standard Class","Home Office","Dallas","Texas","Binders",6,30.56,5,0.8,-45.84
"Standard Class","Consumer","New York City","New York","Art",6,64.14,3,0,16.6764
"Second Class","Consumer","Frisco","Texas","Furnishings",3,30.336,6,0.6,-17.4432
"Standard Class","Consumer","Quincy","Illinois","Binders",4,2.992,4,0.8,-4.488
"Standard Class","Corporate","New York City","New York","Binders",5,3.744,1,0.2,1.3104
"Second Class","Home Office","Chico","California","Chairs",5,915.136,4,0.2,102.9528
"Standard Class","Corporate","Rochester","New York","Paper",6,26.4,5,0,11.88
"Second Class","Consumer","Thornton","Colorado","Paper",3,10.32,2,0.2,3.741
"Standard Class","Consumer","Oklahoma City","Oklahoma","Phones",6,479.96,4,0,134.3888
"Second Class","Corporate","Houston","Texas","Paper",2,10.368,2,0.2,3.7584
"Standard Class","Corporate","Caldwell","Idaho","Paper",4,25.92,4,0,12.4416
"Standard Class","Consumer","Lakewood","California","Furnishings",5,25.08,6,0,9.0288
"First Class","Home Office","New York City","New York","Paper",2,24.56,2,0,11.5432
"Standard Class","Home Office","Waterbury","Connecticut","Storage",4,286.15,5,0,71.5375
"First Class","Corporate","Chicago","Illinois","Art",3,8.84,5,0.2,2.9835
"Standard Class","Consumer","Bellevue","Washington","Binders",4,24.816,3,0.2,8.3754
"Standard Class","Consumer","San Francisco","California","Paper",6,21.72,4,0,10.6428
"Standard Class","Consumer","Sioux Falls","South Dakota","Labels",6,20.23,7,0,9.5081
"Standard Class","Corporate","New York City","New York","Furnishings",7,9.82,2,0,3.2406
"Same Day","Consumer","New York City","New York","Paper",0,25.92,4,0,12.4416
"Standard Class","Consumer","New York City","New York","Chairs",7,127.764,2,0.1,21.294
"First Class","Consumer","New York City","New York","Chairs",3,408.006,2,0.1,72.5344
"Standard Class","Consumer","Chicago","Illinois","Storage",6,72.784,1,0.2,-18.196
"Standard Class","Consumer","San Diego","California","Accessories",6,72.64,2,0,21.792
"Second Class","Consumer","Detroit","Michigan","Art",2,34.7,5,0,12.492
"Standard Class","Home Office","Dallas","Texas","Paper",4,10.368,2,0.2,3.7584
"Standard Class","Consumer","Roswell","Georgia","Storage",4,356.94,2,0,107.082
"Standard Class","Home Office","San Diego","California","Labels",7,20.88,8,0,9.6048
"Standard Class","Consumer","San Francisco","California","Accessories",5,46.36,4,0,15.2988
"Second Class","Consumer","Fairfield","Connecticut","Binders",2,43.8,10,0,21.024
"Second Class","Corporate","Los Angeles","California","Accessories",4,100,4,0,21
"First Class","Corporate","Seattle","Washington","Binders",2,2033.584,2,0.2,762.594
"Second Class","Corporate","Oakland","California","Labels",5,3.15,1,0,1.512
"First Class","Corporate","Los Angeles","California","Binders",2,19.296,3,0.2,6.03
"Same Day","Consumer","Marion","Ohio","Art",0,37.376,8,0.2,4.672
"Standard Class","Home Office","Lake Forest","California","Labels",4,6.16,2,0,2.9568
"First Class","Consumer","Perth Amboy","New Jersey","Bookcases",3,120.98,1,0,12.098
"Standard Class","Consumer","Tampa","Florida","Furnishings",5,7.904,2,0.2,2.1736
"Standard Class","Corporate","Columbus","Georgia","Paper",4,50.96,7,0,24.4608
"Standard Class","Consumer","Long Beach","New York","Phones",4,437.85,3,0,131.355
"First Class","Corporate","Arlington","Virginia","Paper",2,35.44,1,0,16.6568
"Standard Class","Consumer","Arlington","Texas","Storage",6,12.624,2,0.2,-2.5248
"Standard Class","Consumer","Philadelphia","Pennsylvania","Envelopes",4,6.208,2,0.2,2.1728
"Standard Class","Consumer","Chicago","Illinois","Machines",6,1362.9,3,0.3,-19.47
"Standard Class","Consumer","Seattle","Washington","Phones",6,107.984,1,0.2,9.4486
"Second Class","Home Office","Bayonne","New Jersey","Binders",3,14.46,3,0,7.0854
"Second Class","Corporate","West Allis","Wisconsin","Bookcases",5,241.96,2,0,24.196
"Standard Class","Home Office","Los Angeles","California","Accessories",4,176.8,8,0,22.984
"Second Class","Consumer","Seattle","Washington","Furnishings",5,24.75,5,0,10.89
"First Class","Corporate","San Jose","California","Storage",2,80.88,6,0,21.0288
"Standard Class","Home Office","Des Moines","Washington","Paper",6,18.54,2,0,8.7138
"Standard Class","Home Office","Houston","Texas","Binders",6,16.27,5,0.8,-25.2185
"First Class","Home Office","Seattle","Washington","Binders",1,2.496,1,0.2,0.9048
"Standard Class","Corporate","Newark","Ohio","Storage",5,27.096,3,0.2,2.0322
"First Class","Corporate","Springfield","Ohio","Appliances",3,73.536,4,0.2,9.192
"Standard Class","Corporate","Oklahoma City","Oklahoma","Furnishings",4,30.36,4,0,13.0548
"First Class","Corporate","San Francisco","California","Storage",2,155.82,7,0,42.0714
"Second Class","Home Office","Chicago","Illinois","Art",4,3.536,2,0.2,0.3094
"First Class","Consumer","Garland","Texas","Labels",2,10.44,5,0.2,3.393
"Standard Class","Corporate","Decatur","Alabama","Paper",6,32.4,5,0,15.552
"Second Class","Corporate","Peoria","Illinois","Binders",3,12.462,3,0.8,-20.5623
"First Class","Consumer","Rochester","New York","Storage",2,116.82,3,0,5.841
"First Class","Home Office","Seattle","Washington","Storage",2,104.28,3,0,26.07
"Standard Class","Consumer","Newport News","Virginia","Copiers",5,1599.92,8,0,751.9624
"First Class","Consumer","Inglewood","California","Storage",1,29.79,3,0,8.6391
"Same Day","Home Office","Seattle","Washington","Phones",0,7.992,1,0.2,2.6973
"First Class","Corporate","Helena","Montana","Storage",3,39.9,5,0,10.374
"Standard Class","Corporate","Detroit","Michigan","Chairs",4,872.94,3,0,226.9644
"First Class","Consumer","Minneapolis","Minnesota","Storage",2,501.81,3,0,0
"Standard Class","Home Office","Miami","Florida","Appliances",4,211.248,6,0.2,15.8436
"Standard Class","Consumer","Los Angeles","California","Tables",5,1335.68,4,0.2,-217.048
"First Class","Consumer","Draper","Utah","Furnishings",1,25.16,2,0,10.5672
"Standard Class","Consumer","New York City","New York","Machines",4,3999.95,5,0,1159.9855
"Standard Class","Home Office","San Francisco","California","Paper",5,81.98,2,0,40.1702
"Standard Class","Home Office","Greenville","North Carolina","Labels",6,9.216,4,0.2,3.3408
"Standard Class","Corporate","Rochester","New York","Furnishings",5,37.93,1,0,6.8274
"Standard Class","Corporate","Detroit","Michigan","Chairs",4,1458.65,5,0,423.0085
"Standard Class","Consumer","Orlando","Florida","Paper",4,10.688,2,0.2,3.7408
"Standard Class","Consumer","Houston","Texas","Storage",5,84.784,2,0.2,-16.9568
"Standard Class","Corporate","Columbus","Ohio","Accessories",5,119.8,5,0.2,29.95
"Second Class","Corporate","Seattle","Washington","Binders",3,33.44,10,0.2,11.704
"Standard Class","Home Office","San Francisco","California","Storage",4,26.4,5,0,0
"Standard Class","Consumer","San Francisco","California","Supplies",5,35.06,2,0,10.518
"Standard Class","Home Office","Superior","Wisconsin","Appliances",5,364.74,3,0,109.422
"Second Class","Consumer","Lancaster","Pennsylvania","Storage",2,221.024,2,0.2,-55.256
"Standard Class","Consumer","San Francisco","California","Phones",4,806.336,8,0.2,50.396
"Second Class","Consumer","New York City","New York","Furnishings",5,101.4,5,0,38.532
"Standard Class","Corporate","New York City","New York","Supplies",4,28.4,5,0,8.236
"Second Class","Corporate","Inglewood","California","Furnishings",2,198.46,2,0,99.23
"First Class","Home Office","Philadelphia","Pennsylvania","Fasteners",2,3.168,2,0.2,-0.7128
"Second Class","Corporate","San Francisco","California","Binders",3,2.992,1,0.2,1.122
"First Class","Corporate","Raleigh","North Carolina","Phones",2,74.24,1,0.2,8.352
"Standard Class","Home Office","Malden","Massachusetts","Bookcases",6,173.94,3,0,13.9152
"Standard Class","Consumer","Seattle","Washington","Accessories",4,389.97,3,0,132.5898
"Second Class","Consumer","Seattle","Washington","Bookcases",2,704.9,5,0,56.392
"Standard Class","Consumer","New York City","New York","Binders",5,232.4,5,0.2,78.435
"Second Class","Consumer","Tulsa","Oklahoma","Paper",5,12.96,2,0,6.2208
"Standard Class","Consumer","Carrollton","Texas","Binders",6,2.512,2,0.8,-4.396
"Standard Class","Corporate","Lafayette","Louisiana","Paper",4,19.44,3,0,9.3312
"First Class","Corporate","Louisville","Kentucky","Appliances",3,208.44,3,0,62.532
"First Class","Corporate","Mason","Ohio","Furnishings",2,68.704,2,0.2,16.3172
"Standard Class","Home Office","Franklin","Massachusetts","Furnishings",7,124.36,2,0,27.3592
"Standard Class","Home Office","New York City","New York","Envelopes",6,16.98,1,0,8.49
"Standard Class","Consumer","Memphis","Tennessee","Appliances",5,272.048,7,0.2,30.6054
"Standard Class","Corporate","Fayetteville","Arkansas","Furnishings",4,8.92,4,0,3.9248
"Standard Class","Corporate","Springfield","Virginia","Accessories",4,1979.7,6,0,653.301
"Standard Class","Corporate","Greensboro","North Carolina","Supplies",4,20.608,2,0.2,-4.3792
"Standard Class","Consumer","Omaha","Nebraska","Phones",5,149.95,5,0,41.986
"Standard Class","Corporate","Los Angeles","California","Appliances",5,7.9,2,0,2.054
"Standard Class","Corporate","Hackensack","New Jersey","Phones",4,197.97,3,0,57.4113
"Second Class","Consumer","New York City","New York","Appliances",5,293.52,6,0,76.3152
"Second Class","Consumer","Baltimore","Maryland","Paper",2,164.88,3,0,80.7912
"Standard Class","Consumer","Hamilton","Ohio","Furnishings",7,190.848,3,0.2,-21.4704
"Standard Class","Consumer","Hamilton","Ohio","Art",4,7.408,2,0.2,1.2038
"Standard Class","Consumer","Chicago","Illinois","Chairs",7,528.43,5,0.3,0
"Standard Class","Home Office","Orem","Utah","Furnishings",5,73.32,6,0,21.996
"Second Class","Consumer","Philadelphia","Pennsylvania","Accessories",4,47.984,2,0.2,0.5998
"Second Class","Consumer","Hampton","Virginia","Art",5,265.86,7,0,79.758
"First Class","Consumer","Oakland","California","Phones",1,431.968,4,0.2,37.7972
"Standard Class","Corporate","Fort Lauderdale","Florida","Phones",5,519.68,7,0.2,58.464
"Second Class","Consumer","Richmond","Kentucky","Paper",4,24.56,2,0,11.5432
"Second Class","Consumer","New York City","New York","Art",3,6.99,3,0,2.0271
"Standard Class","Consumer","San Francisco","California","Art",5,14.88,2,0,3.72
"Second Class","Consumer","Rockville","Maryland","Binders",3,7.38,1,0,3.6162
"First Class","Consumer","New York City","New York","Binders",2,46.72,8,0.2,15.768
"Second Class","Consumer","Chicago","Illinois","Furnishings",5,419.68,5,0.6,-356.728
"Standard Class","Consumer","Chicago","Illinois","Paper",6,322.192,13,0.2,100.685
"Second Class","Consumer","Jackson","Michigan","Paper",3,19.05,3,0,8.763
"Standard Class","Home Office","Philadelphia","Pennsylvania","Furnishings",4,516.488,7,0.2,-12.9122
"Standard Class","Corporate","San Antonio","Texas","Accessories",5,30.08,2,0.2,-5.264
"Standard Class","Corporate","New York City","New York","Furnishings",4,214.7,5,0,83.733
"Standard Class","Home Office","Columbia","Maryland","Paper",6,277.4,5,0,133.152
"Standard Class","Consumer","Baltimore","Maryland","Phones",7,89.95,5,0,43.176
"First Class","Consumer","Oakland","California","Labels",1,51.75,5,0,24.84
"Standard Class","Consumer","Dallas","Texas","Accessories",5,47.976,3,0.2,1.7991
"First Class","Consumer","Clinton","Maryland","Art",1,7.98,3,0,2.0748
"First Class","Corporate","Chicago","Illinois","Appliances",3,58.464,9,0.8,-146.16
"Standard Class","Home Office","Houston","Texas","Art",7,8.016,3,0.2,1.002
"Standard Class","Home Office","Henderson","Kentucky","Art",4,5.48,2,0,1.4796
"Standard Class","Corporate","New York City","New York","Appliances",6,8.39,1,0,2.0975
"Standard Class","Consumer","Chicago","Illinois","Storage",4,646.2,5,0.2,-8.0775
"Standard Class","Home Office","New York City","New York","Accessories",4,449.91,9,0,157.4685
"First Class","Corporate","Hoover","Alabama","Supplies",2,477.24,4,0,9.5448
"Standard Class","Corporate","Jacksonville","North Carolina","Labels",7,5.04,1,0.2,1.638
"Standard Class","Consumer","Mcallen","Texas","Supplies",5,13.344,2,0.2,1.0008
"Second Class","Consumer","Los Angeles","California","Storage",3,33.63,3,0,10.089
"Standard Class","Consumer","Los Angeles","California","Chairs",7,112.648,1,0.2,11.2648
"Second Class","Consumer","Philadelphia","Pennsylvania","Paper",3,20.736,4,0.2,7.2576
"Standard Class","Corporate","Jackson","Mississippi","Binders",4,30.44,2,0,14.9156
"Second Class","Consumer","Port Orange","Florida","Envelopes",2,7.824,1,0.2,2.934
"First Class","Consumer","Oakland","California","Appliances",1,203.52,3,0,54.9504
"Standard Class","Corporate","Los Angeles","California","Accessories",4,66.3,3,0,8.619
"Standard Class","Home Office","Lewiston","Maine","Binders",6,8.26,2,0,3.8822
"Standard Class","Corporate","Wilson","North Carolina","Storage",5,51.984,1,0.2,-5.1984
"Second Class","Consumer","New York City","New York","Furnishings",2,29.78,2,0,8.0406
"Standard Class","Corporate","Little Rock","Arkansas","Binders",4,17.96,4,0,8.2616
"First Class","Home Office","Pueblo","Colorado","Machines",1,703.71,6,0.7,-938.28
"Standard Class","Consumer","Minneapolis","Minnesota","Appliances",4,90.64,8,0,38.9752
"Standard Class","Consumer","Aurora","Colorado","Appliances",6,122.328,3,0.2,12.2328
"Standard Class","Home Office","Hollywood","Florida","Phones",5,383.96,5,0.2,38.396
"First Class","Corporate","Tucson","Arizona","Binders",1,38.388,14,0.7,-25.592
"First Class","Consumer","Philadelphia","Pennsylvania","Furnishings",2,310.88,2,0.2,23.316
"Standard Class","Home Office","New York City","New York","Chairs",5,172.764,2,0.1,13.4372
"Standard Class","Home Office","San Francisco","California","Art",4,2.78,1,0,0.7228
"Standard Class","Consumer","Westminster","California","Paper",4,24.56,2,0,11.5432
"Standard Class","Home Office","Chicago","Illinois","Furnishings",6,44.4,2,0.6,-52.17
"First Class","Consumer","Kirkwood","Missouri","Furnishings",1,212.94,3,0,34.0704
"Same Day","Home Office","Seattle","Washington","Furnishings",0,25.4,5,0,8.636
"Standard Class","Consumer","New York City","New York","Binders",4,17.96,5,0.2,5.837
"Standard Class","Corporate","York","Pennsylvania","Chairs",4,422.058,3,0.3,-18.0882
"Standard Class","Consumer","Pasadena","California","Furnishings",4,383.64,6,0,122.7648
"Standard Class","Corporate","Florence","South Carolina","Storage",6,628.81,7,0,12.5762
"Second Class","Consumer","Pocatello","Idaho","Phones",2,140.376,3,0.2,8.7735
"Second Class","Consumer","San Diego","California","Chairs",4,842.352,3,0.2,42.1176
"Standard Class","Home Office","Highland Park","Illinois","Binders",4,3.136,2,0.8,-4.704
"Second Class","Home Office","Aurora","Illinois","Accessories",3,50.12,7,0.2,-0.6265
"First Class","Consumer","Memphis","Tennessee","Tables",3,370.62,3,0.4,-142.071
"First Class","Home Office","Cleveland","Ohio","Storage",1,848.544,4,0.2,-21.2136
"Second Class","Consumer","Philadelphia","Pennsylvania","Binders",3,121.104,6,0.7,-100.92
"Standard Class","Consumer","Houston","Texas","Furnishings",4,16.192,2,0.6,-6.8816
"Standard Class","Corporate","Houston","Texas","Art",4,1.344,1,0.2,0.504
"Standard Class","Consumer","Seattle","Washington","Binders",7,13.904,2,0.2,5.214
"Standard Class","Consumer","New York City","New York","Binders",5,14.352,3,0.2,4.6644
"Second Class","Consumer","Miami","Florida","Paper",2,10.368,2,0.2,3.6288
"Standard Class","Corporate","East Point","Georgia","Binders",6,165.98,1,0,74.691
"Standard Class","Consumer","Omaha","Nebraska","Storage",5,373.08,6,0,100.7316
"Standard Class","Consumer","Glendale","Arizona","Accessories",6,95.976,3,0.2,-10.7973
"Standard Class","Home Office","San Gabriel","California","Furnishings",5,303.25,5,0,63.6825
"Standard Class","Consumer","Seattle","Washington","Binders",7,51.312,3,0.2,18.6006
"Second Class","Corporate","Houston","Texas","Machines",3,597.132,3,0.4,49.761
"Second Class","Corporate","San Francisco","California","Envelopes",5,8.96,2,0,4.3008
"Second Class","Consumer","Cranston","Rhode Island","Chairs",2,1604.9,5,0,481.47
"First Class","Consumer","Mobile","Alabama","Furnishings",3,8.96,2,0,2.7776
"Standard Class","Consumer","Philadelphia","Pennsylvania","Chairs",7,657.93,5,0.3,-93.99
"Same Day","Corporate","San Francisco","California","Supplies",0,25.35,3,0,7.605
"Standard Class","Consumer","Johnson City","Tennessee","Paper",6,24.896,4,0.2,7.78
"First Class","Home Office","Seattle","Washington","Binders",1,172.752,6,0.2,60.4632
"Standard Class","Corporate","Burlington","Vermont","Storage",4,1564.29,13,0,406.7154
"Standard Class","Consumer","Los Angeles","California","Art",5,5.68,2,0,1.7608
"Standard Class","Consumer","Los Angeles","California","Storage",4,354.9,5,0,17.745
"Second Class","Consumer","Montgomery","Alabama","Binders",3,22.75,5,0,11.375
"Standard Class","Consumer","Houston","Texas","Paper",4,7.968,2,0.2,2.8884
"Standard Class","Consumer","Glendale","Arizona","Storage",5,10.744,1,0.2,0.8058
"Standard Class","Consumer","Asheville","North Carolina","Appliances",5,43.584,1,0.2,4.3584
"Same Day","Home Office","Smyrna","Georgia","Paper",0,348.84,9,0,170.9316
"Second Class","Consumer","Henderson","Kentucky","Art",5,7.98,3,0,2.0748
"Standard Class","Home Office","Seattle","Washington","Labels",5,39.28,8,0,19.2472
"Standard Class","Consumer","Concord","North Carolina","Paper",6,89.568,2,0.2,32.4684
"Second Class","Corporate","San Francisco","California","Furnishings",5,30.56,2,0,10.3904
"Standard Class","Consumer","Omaha","Nebraska","Paper",5,17.64,3,0,8.6436
"First Class","Corporate","Woonsocket","Rhode Island","Paper",3,45.36,7,0,21.7728
"First Class","Corporate","Seattle","Washington","Accessories",2,102.13,7,0,15.3195
"Standard Class","Corporate","New York City","New York","Storage",4,459.95,5,0,18.398
"First Class","Consumer","New York City","New York","Chairs",3,117.882,1,0.1,1.3098
"Standard Class","Consumer","Philadelphia","Pennsylvania","Envelopes",4,52.512,6,0.2,19.692
"First Class","Home Office","New York City","New York","Labels",2,8.64,3,0,4.2336
"Same Day","Consumer","Houston","Texas","Binders",0,1.112,2,0.8,-1.8904
"Standard Class","Consumer","Medford","Oregon","Paper",6,32.896,4,0.2,11.1024
"Standard Class","Corporate","Pearland","Texas","Envelopes",5,13.392,3,0.2,5.022
"Standard Class","Consumer","Los Angeles","California","Chairs",4,725.344,4,0.2,54.4008
"First Class","Home Office","Houston","Texas","Binders",2,41.568,6,0.8,-66.5088
"Second Class","Consumer","Columbia","Missouri","Furnishings",4,332.94,3,0,53.2704
"Standard Class","Corporate","San Francisco","California","Accessories",4,45,3,0,4.95
"Standard Class","Home Office","Houston","Texas","Chairs",4,212.058,3,0.3,-15.147
"Standard Class","Consumer","Chesapeake","Virginia","Appliances",4,203.92,4,0,55.0584
"First Class","Consumer","Gladstone","Missouri","Furnishings",1,126.3,3,0,40.416
"Standard Class","Corporate","Philadelphia","Pennsylvania","Paper",5,54.816,3,0.2,17.8152
"Standard Class","Consumer","Phoenix","Arizona","Accessories",6,89.584,2,0.2,4.4792
"Standard Class","Consumer","Phoenix","Arizona","Phones",6,1879.96,5,0.2,211.4955
"Same Day","Consumer","Chula Vista","California","Art",0,192.8,4,0,55.912
"Standard Class","Consumer","San Francisco","California","Art",4,14.9,5,0,4.172
"Standard Class","Consumer","Los Angeles","California","Binders",4,70.008,3,0.2,24.5028
"Standard Class","Home Office","Boynton Beach","Florida","Art",5,15.528,3,0.2,4.8525
"Standard Class","Home Office","Seattle","Washington","Binders",6,6.096,2,0.2,2.1336
"Standard Class","Consumer","Roseville","California","Paper",5,19.44,3,0,9.3312
"Second Class","Home Office","Lancaster","Ohio","Paper",3,30.96,6,0.2,11.223
"First Class","Consumer","Jacksonville","North Carolina","Storage",1,67.64,5,0.2,5.9185
"Second Class","Consumer","Pine Bluff","Arkansas","Accessories",2,199.95,5,0,63.984
"First Class","Consumer","New York City","New York","Paper",3,25.92,4,0,12.4416
"First Class","Corporate","San Francisco","California","Bookcases",1,556.665,5,0.15,6.549
"Standard Class","Corporate","New York City","New York","Phones",6,65.99,1,0,17.1574
"Standard Class","Consumer","San Diego","California","Phones",6,601.536,8,0.2,60.1536
"Standard Class","Consumer","Houston","Texas","Fasteners",4,10.824,3,0.2,2.5707
"Second Class","Consumer","New York City","New York","Labels",5,21.93,3,0,10.3071
"Same Day","Corporate","Seattle","Washington","Appliances",0,314.6,4,0,103.818
"Second Class","Home Office","Orange","New Jersey","Supplies",4,27.93,3,0,8.0997
"Second Class","Corporate","Laguna Niguel","California","Phones",4,39.96,5,0.2,3.4965
"First Class","Consumer","San Francisco","California","Binders",3,51.312,3,0.2,17.9592
"Standard Class","Consumer","Jacksonville","Florida","Phones",4,863.88,3,0.2,107.985
"Standard Class","Consumer","Houston","Texas","Paper",4,16.448,2,0.2,5.5512
"First Class","Home Office","Aurora","Colorado","Binders",3,76.776,4,0.7,-58.8616
"Standard Class","Corporate","Colorado Springs","Colorado","Paper",6,29.6,5,0.2,9.25
"Standard Class","Consumer","Washington","District of Columbia","Binders",6,9.64,2,0,4.4344
"First Class","Home Office","Los Angeles","California","Paper",1,14.9,5,0,7.152
"Second Class","Home Office","Chicago","Illinois","Paper",2,3.808,1,0.2,1.2376
"Same Day","Home Office","Philadelphia","Pennsylvania","Binders",0,4.842,3,0.7,-3.3894
"Second Class","Consumer","Columbus","Ohio","Chairs",2,909.72,6,0.3,-51.984
"Standard Class","Consumer","Anaheim","California","Supplies",6,51.15,5,0,13.299
"Standard Class","Corporate","Jackson","Mississippi","Paper",4,16,4,0,7.68
"Second Class","Consumer","Oceanside","New York","Accessories",5,13.98,2,0,6.0114
"First Class","Consumer","San Jose","California","Chairs",1,108.608,4,0.2,9.5032
"Second Class","Corporate","Springfield","Missouri","Paper",5,32.4,5,0,15.552
"Standard Class","Consumer","Colorado Springs","Colorado","Furnishings",5,52.416,9,0.2,15.0696
"Standard Class","Consumer","New York City","New York","Appliances",4,208.16,1,0,56.2032
"Second Class","Corporate","Provo","Utah","Binders",4,11.784,3,0.2,4.2717
"Standard Class","Corporate","Philadelphia","Pennsylvania","Binders",7,24.588,2,0.7,-18.0312
"Standard Class","Corporate","Los Angeles","California","Phones",4,83.984,2,0.2,31.494
"Standard Class","Home Office","New York City","New York","Labels",6,14.94,3,0,6.8724
"Standard Class","Corporate","Los Angeles","California","Paper",7,47.52,9,0,21.384
"First Class","Consumer","Lake Forest","California","Furnishings",3,54.92,4,0,19.7712
"Second Class","Corporate","Apple Valley","California","Paper",2,32.4,5,0,15.552
"Standard Class","Consumer","Charlotte","North Carolina","Accessories",4,431.16,5,0.2,107.79
"Standard Class","Corporate","Hampton","Virginia","Binders",5,896.99,1,0,421.5853
"Standard Class","Corporate","Springfield","Virginia","Storage",5,67.9,5,0,0.679
"First Class","Consumer","San Francisco","California","Storage",3,29.74,1,0,4.461
"Standard Class","Consumer","Bellevue","Washington","Binders",4,14.976,6,0.2,5.4288
"Standard Class","Corporate","Aurora","Colorado","Furnishings",4,24.96,3,0.2,4.368
"Standard Class","Corporate","Philadelphia","Pennsylvania","Envelopes",6,31.68,4,0.2,11.088
"Standard Class","Corporate","New York City","New York","Supplies",5,6.84,1,0,1.8468
"Standard Class","Corporate","Lafayette","Louisiana","Storage",4,232.55,5,0,9.302
"Standard Class","Consumer","Burlington","Vermont","Paper",4,79.92,4,0,37.5624
"Standard Class","Home Office","Los Angeles","California","Chairs",7,241.424,2,0.2,-36.2136
"Standard Class","Corporate","New York City","New York","Storage",5,70.26,3,0,18.9702
"Standard Class","Corporate","Plantation","Florida","Phones",7,100.792,1,0.2,10.0792
"Standard Class","Consumer","Los Angeles","California","Art",6,20.96,2,0,5.24
"Second Class","Consumer","Columbus","Ohio","Binders",2,76.776,4,0.7,-58.8616
"Standard Class","Corporate","Rochester","Minnesota","Furnishings",5,6.16,2,0,2.9568
"Standard Class","Corporate","Brentwood","California","Envelopes",7,23.36,2,0,11.68
"Standard Class","Consumer","Johnson City","Tennessee","Envelopes",4,18.336,3,0.2,6.6468
"Standard Class","Consumer","Newark","Delaware","Furnishings",6,10.68,4,0,4.0584
"Standard Class","Consumer","Phoenix","Arizona","Storage",7,243.992,7,0.2,30.499
"Second Class","Consumer","Waco","Texas","Binders",3,243.992,4,0.8,-426.986
"Standard Class","Corporate","Saint Petersburg","Florida","Paper",4,173.488,7,0.2,54.215
"Second Class","Home Office","Houston","Texas","Art",5,9.912,3,0.2,3.2214
"Standard Class","Corporate","Huntsville","Alabama","Art",6,197.05,7,0,59.115
"Standard Class","Consumer","Houston","Texas","Binders",5,1.476,3,0.8,-2.214
"Standard Class","Corporate","Richmond","Kentucky","Storage",7,69.52,2,0,19.4656
"Second Class","Corporate","Dublin","Ohio","Tables",5,1048.35,5,0.4,-69.89
"Standard Class","Consumer","Chicago","Illinois","Binders",4,8.568,3,0.8,-14.5656
